Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent) 
IDENTIFIER, a, int, 3, 3, 0
IDENTIFIER, c, int, 7, 5, 0
IDENTIFIER, d, int, 9, 6, 0
IDENTIFIER, i, int, 13, 7, 0
IDENTIFIER, i, int, 17, 9, 0
IDENTIFIER, i, int, 21, 11, 0
IDENTIFIER, j, int, 22, 13, 0
identifier - method ofFor, main, void, 0, -1, 0
IDENTIFIER, v, int, 5, 4, 0
, , , , , , 1, 0
, , , , , , 2, 1
, , , , , , 3, 2
, , , , , , 4, 3
, , , , , , 5, 4
, , , , , , 6, 5
, , , , , , 7, 3
, , , , , , 8, 7
, , , , , , 9, 3
, , , , , , 10, 9
, , , , , , 11, 3
, , , , , , 12, 11
, , , , , , 13, 12
, , , , , , 14, 13
